,day,count
0,2020-01-01,17441
1,2020-01-02,20470
2,2020-01-03,21619
3,2020-01-04,19974
4,2020-01-05,20059
5,2020-01-06,21754
6,2020-01-07,21188
7,2020-01-08,20627
8,2020-01-09,21989
9,2020-01-10,21970
10,2020-01-11,18290
11,2020-01-12,17857
12,2020-01-13,21040
13,2020-01-14,21230
14,2020-01-15,20743
15,2020-01-16,21065
16,2020-01-17,21741
17,2020-01-18,14538
18,2020-01-19,16864
19,2020-01-20,19710
20,2020-01-21,21071
21,2020-01-22,20449
22,2020-01-23,21365
23,2020-01-24,21581
24,2020-01-25,18843
25,2020-01-26,17436
26,2020-01-27,20862
27,2020-01-28,20979
28,2020-01-29,20515
29,2020-01-30,21087
30,2020-01-31,21610
31,2020-02-01,19000
32,2020-02-02,17323
33,2020-02-03,20733
34,2020-02-04,21314
35,2020-02-05,20501
36,2020-02-06,20367
37,2020-02-07,21066
38,2020-02-08,19587
39,2020-02-09,17496
40,2020-02-10,21381
41,2020-02-11,21514
42,2020-02-12,20824
43,2020-02-13,21058
44,2020-02-14,22784
45,2020-02-15,19784
46,2020-02-16,18338
47,2020-02-17,20711
48,2020-02-18,22094
49,2020-02-19,22137
50,2020-02-20,22037
51,2020-02-21,22323
52,2020-02-22,20169
53,2020-02-23,19120
54,2020-02-24,21846
55,2020-02-25,22231
56,2020-02-26,21676
57,2020-02-27,22094
58,2020-02-28,22576
59,2020-02-29,19926
60,2020-03-01,17913
61,2020-03-02,20695
62,2020-03-03,20813
63,2020-03-04,20560
64,2020-03-05,21447
65,2020-03-06,21330
66,2020-03-07,19530
67,2020-03-08,20036
68,2020-03-09,21292
69,2020-03-10,21452
70,2020-03-11,21491
71,2020-03-12,21837
72,2020-03-13,21733
73,2020-03-14,19636
74,2020-03-15,19039
75,2020-03-16,20462
76,2020-03-17,21055
77,2020-03-18,19608
78,2020-03-19,18928
79,2020-03-20,18048
80,2020-03-21,15307
81,2020-03-22,13920
82,2020-03-23,13399
83,2020-03-24,13652
84,2020-03-25,12435
85,2020-03-26,12033
86,2020-03-27,10877
87,2020-03-28,9787
88,2020-03-29,9648
89,2020-03-30,9482
90,2020-03-31,9692
91,2020-04-01,9788
92,2020-04-02,8794
93,2020-04-03,8536
94,2020-04-04,7543
95,2020-04-05,7202
96,2020-04-06,7567
97,2020-04-07,7699
98,2020-04-08,7530
99,2020-04-09,7365
100,2020-04-10,7219
101,2020-04-11,6060
102,2020-04-12,5355
103,2020-04-13,6181
104,2020-04-14,6502
105,2020-04-15,6159
106,2020-04-16,5896
107,2020-04-17,5775
108,2020-04-18,5063
109,2020-04-19,4617
110,2020-04-20,4837
111,2020-04-21,5533
112,2020-04-22,5622
113,2020-04-23,5701
114,2020-04-24,5608
115,2020-04-25,4833
116,2020-04-26,4609
117,2020-04-27,4918
118,2020-04-28,5518
119,2020-04-29,5793
120,2020-04-30,5882
121,2020-05-01,6991
122,2020-05-02,5745
123,2020-05-03,6034
124,2020-05-04,6122
125,2020-05-05,6376
126,2020-05-06,6250
127,2020-05-07,7050
128,2020-05-08,7061
129,2020-05-09,5870
130,2020-05-10,5953
131,2020-05-11,6096
132,2020-05-12,6286
133,2020-05-13,6816
134,2020-05-14,7102
135,2020-05-15,7076
136,2020-05-16,5934
137,2020-05-17,6052
138,2020-05-18,6231
139,2020-05-19,6396
140,2020-05-20,7034
141,2020-05-21,7410
142,2020-05-22,7527
143,2020-05-23,6213
144,2020-05-24,6008
145,2020-05-25,6306
146,2020-05-26,5823
147,2020-05-27,6882
148,2020-05-28,7226
149,2020-05-29,7329
150,2020-05-30,6059
151,2020-05-31,6366
